platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
Gitea,M11312020,AndroidStudio,95108,2025-03-26T03:39:15Z,2025-04-11T04:56:06Z,master,0,0,3235473.0,,Python,"{""Java"": {""size"": 3963, ""percentage"": ""42.46""}, ""Python"": {""size"": 5371, ""percentage"": ""57.54""}}",4.0,1.0,1.0,0.0,0.0
Gitea,portellam4,VAC-Audio-Repeater-Manager,96050,2025-04-07T17:24:07Z,2025-04-08T17:54:07Z,master,1,0,31033995.0,GPL-3.0,C#,"{""C#"": {""size"": 1869527, ""percentage"": ""100.00""}}",1478.0,16.0,4.0,0.0,0.0
Gitea,oarix,min1214,96562,2025-04-14T06:32:56Z,2025-04-14T06:38:27Z,main,0,0,327206153.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,kapilkamble,myfirstrepo,60318,2024-06-30T12:45:41Z,2024-06-30T12:45:41Z,main,0,0,24113.0,,,,,0.0,0.0,0.0,
Gitea,shansw,CSharpVideoDemo-FFmpeg,64217,2024-08-08T02:44:24Z,2024-08-09T03:17:43Z,main,0,0,270716034.0,,C,"{""C"": {""size"": 2088258, ""percentage"": ""96.68""}, ""C#"": {""size"": 71809, ""percentage"": ""3.32""}}",3.0,1.0,1.0,0.0,0.0
Gitea,oWuGI7s6,oWuGI7s6,61858,2024-07-20T00:58:11Z,2024-07-20T00:59:51Z,main,0,0,26496.0,,,,1.0,1.0,1.0,0.0,0.0
Gitea,portellam1,deploy-VFIO,96069,2025-04-08T02:38:09Z,2025-04-08T02:49:00Z,master,1,0,468859.0,GPL-3.0,Shell,"{""Shell"": {""size"": 8293, ""percentage"": ""100.00""}}",367.0,5.0,2.0,0.0,0.0
Gitea,qokalyty,DVDFabExtendedLicense,71040,2024-10-31T06:13:01Z,2024-10-31T06:13:07Z,main,0,0,908909.0,MIT,Python,"{""Python"": {""size"": 30115, ""percentage"": ""100.00""}}",23.0,1.0,1.0,0.0,0.0
Gitea,kirillsoftware,ws_server,51082,2024-02-15T06:48:34Z,2025-03-12T00:32:33Z,master,0,0,3497131.0,,C++,"{""Vim Script"": {""size"": 409, ""percentage"": ""0.34""}, ""CMake"": {""size"": 4566, ""percentage"": ""3.80""}, ""C++"": {""size"": 111976, ""percentage"": ""93.13""}, ""C"": {""size"": 3283, ""percentage"": ""2.73""}}",58.0,2.0,1.0,0.0,0.0
Gitea,betkanyon,Cratosslot,65124,2024-08-16T13:55:50Z,2024-08-16T13:56:42Z,main,0,0,27833.0,,,,2.0,1.0,1.0,0.0,0.0
Gitea,WithLithum,LibIridum,59711,2024-06-20T11:57:52Z,2024-06-30T07:45:11Z,trunk,0,0,795035.0,GPL-3.0,C#,"{""PowerShell"": {""size"": 2887, ""percentage"": ""2.01""}, ""C#"": {""size"": 140951, ""percentage"": ""97.99""}}",41.0,2.0,1.0,6.0,0.0
Gitea,pruebatest,testHugo,85559,2025-01-10T23:35:21Z,2025-01-10T23:35:21Z,,0,0,24115.0,,,,,0.0,0.0,0.0,
Gitea,roshan.kumar2,roshan_OnebillCore2_Modules,94684,2025-03-20T03:54:44Z,2025-03-20T03:54:45Z,main,0,0,412810.0,NOASSERTION,Makefile,"{""Dockerfile"": {""size"": 379, ""percentage"": ""6.57""}, ""Makefile"": {""size"": 4630, ""percentage"": ""80.24""}, ""Go"": {""size"": 761, ""percentage"": ""13.19""}}",1.0,1.0,1.0,0.0,0.0
Gitea,no1assignmenthelp,No1AssignmentHelp.Com,95721,2025-04-03T10:59:37Z,2025-04-03T10:59:37Z,main,0,0,,,,,,,,,
Gitea,xdarnix,BOTNET,59028,2024-06-11T03:20:23Z,2024-06-15T16:58:57Z,main,0,0,,,,,,,,,
Gitea,fatteneddessert,fatdeshud,69521,2024-10-11T12:58:15Z,2024-10-11T12:58:15Z,main,0,0,24115.0,,,,,0.0,0.0,0.0,
Gitea,zxcvbnm,tg,71928,2024-11-12T00:37:44Z,2024-11-28T05:48:44Z,main,0,0,,,,,,,,,
Gitea,mannueru,GEC_Website,60583,2024-07-04T15:50:29Z,2024-07-04T15:50:29Z,main,0,0,24110.0,,,,,0.0,0.0,0.0,
Gitea,evsqualinhibk74,Tradier_Brokerage_Free_Access,91745,2025-03-09T11:00:22Z,2025-03-09T11:00:51Z,main,0,0,,,,,,,,,
