Platform,Name,Stars,Forks,Open Issues,Created At,Updated At,Size,Language
Gitea,captcha,1,1,0,2019-08-01T02:59:39Z,2020-11-30T02:53:53Z,85,Go
Gitea,csrf,1,2,0,2019-08-01T03:00:10Z,2020-11-30T02:53:00Z,126,Go
Gitea,alipay,1,0,0,2019-02-26T06:40:25Z,2019-07-12T13:12:41Z,29,Go
Gitea,stegan,0,0,0,2019-08-01T07:07:55Z,2019-08-01T07:12:16Z,22,Python
Gitea,nightTab,0,0,0,2019-08-01T09:21:14Z,2019-08-01T09:23:13Z,80029,JavaScript
Gitea,spell-slingers,0,0,3,2019-08-01T09:27:31Z,2020-01-10T13:14:51Z,3111,Java
Gitea,homebrew-gitea,1,0,0,2019-08-01T14:23:56Z,2021-03-08T11:37:28Z,115,Ruby
Gitea,redis2ledis,1,0,0,2019-02-26T06:49:39Z,2019-07-12T12:54:23Z,30,Go
Gitea,homebrew-bytom,0,0,0,2019-08-02T02:59:01Z,2020-03-17T07:38:11Z,35,Ruby
Gitea,faucet,0,0,0,2019-08-02T02:59:39Z,2019-04-12T15:29:42Z,64,PHP
Gitea,pybtm,0,0,0,2019-08-02T03:00:19Z,2019-04-11T05:36:24Z,104,Python
Gitea,bytom-node-sdk,0,0,0,2019-08-02T03:01:55Z,2018-11-26T10:02:19Z,602,JavaScript
Gitea,bytom-spanner,0,0,0,2019-08-02T03:02:19Z,2020-04-24T12:14:36Z,84,Python
Gitea,binding,1,1,0,2019-08-02T14:42:20Z,2019-08-22T01:31:55Z,166,Go
Gitea,cors,2,2,0,2019-08-02T14:44:51Z,2019-08-26T18:02:40Z,55,Go
Gitea,i18n,1,2,0,2019-08-02T14:49:44Z,2020-11-12T07:45:45Z,108,Go
Gitea,inject,1,0,0,2019-08-02T14:50:14Z,2019-08-05T02:34:33Z,47,Go
Gitea,toolbox,1,2,0,2019-08-02T14:50:49Z,2019-08-22T01:31:23Z,69,Go
Gitea,csession,0,0,0,2019-02-26T07:27:28Z,2019-07-12T13:13:05Z,23,Go
Gitea,macaron-toolbox,0,0,0,2019-08-02T15:35:54Z,2019-08-04T01:22:06Z,46,Go
Gitea,macaron,0,0,0,2019-08-03T10:31:39Z,2019-08-21T20:11:32Z,507,Go
Gitea,play-sdk,1,0,0,2019-02-26T07:33:24Z,2019-07-12T13:11:45Z,23,Go
Gitea,WP2Ruhoh,1,0,0,2019-02-26T07:34:31Z,2019-07-12T13:01:36Z,23,Go
Gitea,c_namespace_test,0,0,0,2019-08-05T14:07:51Z,2019-08-05T14:10:23Z,22,C
Gitea,build-system-choise,0,0,0,2019-08-05T14:08:36Z,2019-08-05T14:09:59Z,23,C
Gitea,DesignPatterns,0,1,0,2019-08-07T06:08:56Z,2019-08-07T08:29:19Z,448,C#
