platform,owner,repo,id,created,updated,default_branch,#stars,#forks,size,license,main_language,language_distribution,#commits,#branches,#contributors,#issues,#pull_requests
GitHub,SGZ-Creations,Alt_Chemical_Processing,495380404,2022-05-23T11:25:02Z,2025-04-10T04:29:41Z,main,0,0,105532,Unlicense,Lua,"{""Lua"": {""size"": 39453, ""percentage"": ""100.00""}}",104,1,1,0,0
GitHub,kimsk715,kimsk715,961685681,2025-04-07T02:08:34Z,2025-04-10T01:45:58Z,main,0,0,58222943,,,,13,1,1,0,0
GitHub,LabADTCellSeg,cellseg,963662192,2025-04-10T02:56:01Z,2025-04-10T04:32:03Z,main,0,1,269800103,,Jupyter Notebook,"{""Python"": {""size"": 205308, ""percentage"": ""0.17""}, ""Shell"": {""size"": 45, ""percentage"": ""0.00""}, ""Jupyter Notebook"": {""size"": 123526274, ""percentage"": ""99.83""}, ""Roff"": {""size"": 2772, ""percentage"": ""0.00""}}",28,1,1,0,0
GitHub,zeeshanalico,BloogyBlog,960633846,2025-04-04T19:20:34Z,2025-04-05T08:48:12Z,main,0,0,1098675,ISC,JavaScript,"{""JavaScript"": {""size"": 268064, ""percentage"": ""98.83""}, ""HTML"": {""size"": 363, ""percentage"": ""0.13""}, ""CSS"": {""size"": 2823, ""percentage"": ""1.04""}}",13,1,2,0,0
GitHub,owensmurray,json-spec-elm-servant,686431803,2023-09-02T19:15:32Z,2025-04-10T02:33:14Z,master,1,1,107404,MIT,Haskell,"{""Haskell"": {""size"": 47093, ""percentage"": ""100.00""}}",76,2,1,0,21
GitHub,satoshi-nishinaka,chrome-extension-study,116034208,2018-01-02T16:21:51Z,2025-04-05T10:29:16Z,main,1,4,653890,MIT,TypeScript,"{""Shell"": {""size"": 338, ""percentage"": ""0.65""}, ""HTML"": {""size"": 591, ""percentage"": ""1.14""}, ""TypeScript"": {""size"": 46646, ""percentage"": ""90.19""}, ""SCSS"": {""size"": 1902, ""percentage"": ""3.68""}, ""JavaScript"": {""size"": 2240, ""percentage"": ""4.33""}}",203,4,4,11,52
GitHub,autopartsource,sandpim,211533778,2019-09-28T17:01:54Z,2025-04-10T02:50:39Z,master,24,2,11322230,,PHP,"{""HTML"": {""size"": 1122, ""percentage"": ""0.04""}, ""PHP"": {""size"": 2846661, ""percentage"": ""99.66""}, ""Hack"": {""size"": 1692, ""percentage"": ""0.06""}, ""CSS"": {""size"": 6793, ""percentage"": ""0.24""}}",10,1,1,3,7
GitHub,liujunxi120601,liujunxi120601.github.io,914766255,2025-01-10T09:08:29Z,2025-04-09T00:07:18Z,main,0,0,67385,,,,30,1,1,0,0
GitHub,officeokano,miscellaneous,78892742,2017-01-13T22:46:33Z,2025-04-05T06:01:34Z,master,0,0,256676,MIT,,,74,2,8,1,1
GitHub,01cho,first,963020744,2025-04-09T03:17:31Z,2025-04-10T01:52:54Z,main,0,0,28040,,HTML,"{""HTML"": {""size"": 314, ""percentage"": ""100.00""}}",7,1,1,0,0
GitHub,nathalia-de-oliveira,diving,879907684,2024-10-28T18:58:29Z,2025-04-10T01:35:26Z,main,0,0,1616322,MIT,GDScript,"{""GDScript"": {""size"": 30140, ""percentage"": ""100.00""}}",11,1,1,0,0
GitHub,kalle-priyanka,kalle-priyanka-Stock_Market_Prediction_CNN_LSTM,960820586,2025-04-05T06:11:19Z,2025-04-05T06:11:40Z,main,1,0,1151423,,HTML,"{""HTML"": {""size"": 881652, ""percentage"": ""100.00""}}",1,1,1,0,0
GitHub,joao-juvino,Labs-visualiza-o-dados,946973438,2025-03-12T00:49:58Z,2025-04-10T02:26:44Z,main,0,0,1847568,,Jupyter Notebook,"{""Jupyter Notebook"": {""size"": 1097029, ""percentage"": ""98.81""}, ""HTML"": {""size"": 13251, ""percentage"": ""1.19""}}",4,1,1,0,0
GitHub,abhishek786216,Market-Basket-Analyzer,958700872,2025-04-01T16:12:19Z,2025-04-10T04:29:55Z,main,0,0,575074,,Python,"{""Python"": {""size"": 6876, ""percentage"": ""100.00""}}",6,1,1,0,0
GitHub,sakul972,lukass.github.io,956837255,2025-03-29T00:23:24Z,2025-04-10T02:39:39Z,main,0,0,28230,,HTML,"{""HTML"": {""size"": 583, ""percentage"": ""99.66""}, ""CSS"": {""size"": 2, ""percentage"": ""0.34""}}",8,1,1,0,0
GitHub,iamsuryasonar,tarchive,953034113,2025-03-22T12:19:59Z,2025-04-10T02:01:47Z,main,0,0,609892,NOASSERTION,JavaScript,"{""HTML"": {""size"": 2340, ""percentage"": ""10.61""}, ""JavaScript"": {""size"": 19033, ""percentage"": ""86.29""}, ""CSS"": {""size"": 45, ""percentage"": ""0.20""}, ""TypeScript"": {""size"": 640, ""percentage"": ""2.90""}}",8,1,1,0,0
GitHub,EduardooPV,mock-bff,947586052,2025-03-12T23:33:50Z,2025-04-10T01:35:26Z,main,0,0,298231,,Vue,"{""JavaScript"": {""size"": 10640, ""percentage"": ""36.14""}, ""HTML"": {""size"": 330, ""percentage"": ""1.12""}, ""Vue"": {""size"": 18450, ""percentage"": ""62.66""}, ""CSS"": {""size"": 23, ""percentage"": ""0.08""}}",22,1,3,0,0
GitHub,TheCacophonyProject,tc2-firmware,667167565,2023-07-16T21:28:28Z,2025-04-09T01:58:25Z,main,0,0,659241,,Rust,"{""Rust"": {""size"": 489629, ""percentage"": ""99.69""}, ""Shell"": {""size"": 664, ""percentage"": ""0.14""}, ""Linker Script"": {""size"": 319, ""percentage"": ""0.06""}, ""GDB"": {""size"": 553, ""percentage"": ""0.11""}}",333,16,6,0,27
GitHub,SAIS-FUXI,IPO,939156627,2025-02-26T04:44:50Z,2025-04-10T02:35:11Z,main,6,0,1164325,Apache-2.0,Python,"{""Python"": {""size"": 5204, ""percentage"": ""100.00""}}",40,1,2,1,0
GitHub,yeebenja,dotfiles,910633506,2024-12-31T22:06:29Z,2025-04-10T04:21:20Z,main,1,0,11202591,,GLSL,"{""GLSL"": {""size"": 105465, ""percentage"": ""52.26""}, ""Lua"": {""size"": 90351, ""percentage"": ""44.77""}, ""Python"": {""size"": 81, ""percentage"": ""0.04""}, ""Shell"": {""size"": 5907, ""percentage"": ""2.93""}}",47,1,1,0,0
GitHub,liajacobs,teachersLoungeFE,924394113,2025-01-29T23:13:32Z,2025-04-09T01:58:07Z,main,2,0,12362726,,JavaScript,"{""JavaScript"": {""size"": 190727, ""percentage"": ""100.00""}}",79,5,9,0,18
GitHub,Mianhassam96,Text-JPG-PNG-to-PDF-Converter,885750522,2024-11-09T09:48:56Z,2025-04-10T02:23:33Z,main,2,0,38387,,JavaScript,"{""HTML"": {""size"": 1361, ""percentage"": ""22.53""}, ""JavaScript"": {""size"": 2747, ""percentage"": ""45.47""}, ""CSS"": {""size"": 1933, ""percentage"": ""32.00""}}",3,1,1,0,0
GitHub,HeartBank,heartbank.org,373687916,2021-06-04T01:34:02Z,2025-04-09T00:09:57Z,master,0,1,779762,,CSS,"{""CSS"": {""size"": 5539, ""percentage"": ""53.37""}, ""HTML"": {""size"": 4345, ""percentage"": ""41.87""}, ""JavaScript"": {""size"": 494, ""percentage"": ""4.76""}}",38,3,2,0,2
GitHub,nasa-gcn,architect-plugin-search,604858328,2023-02-21T23:53:33Z,2025-04-10T01:51:15Z,main,1,5,569468,NOASSERTION,TypeScript,"{""Arc"": {""size"": 251, ""percentage"": ""0.97""}, ""JavaScript"": {""size"": 779, ""percentage"": ""3.00""}, ""TypeScript"": {""size"": 24935, ""percentage"": ""96.03""}}",189,2,7,4,218
